,item_id,name_real,name,critical_short,bio,bio_spr,critical,critical_world,X,asterisk,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,name_lenth,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
1,2,Richard Nixon,Glenn Lockhart,He*has appeared*in prominent*political debates.,Glenn Lockhart was an American politician. He died in New York.,Glenn Lockhart*was*an American*politician.*He*died*in New York.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.","Richard Nixon*has appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Richard Nixon,13,male,dead,alive,critical,PP,deadPP,1,no,appear,12111,crit,crit
2,2,Richard Nixon,Glenn Lockhart,He*appeared*in prominent*political debates.,Glenn Lockhart was an American politician. He died in New York.,Glenn Lockhart*was*an American*politician.*He*died*in New York.,"He*appeared*in prominent*political debates,*according to*Wikipedia.","Richard Nixon*appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Richard Nixon,13,male,dead,alive,critical,PS,deadPS,2,no,appear,12122,crit,crit
3,2,Justin Trudeau,Glenn Lockhart,He*has appeared*in prominent*political debates.,Glenn Lockhart is a Canadian politician. He lives in Ottawa.,Glenn Lockhart*is*a Canadian*politician.*He*lives*in Ottawa.,"He*has appeared*in prominent*political debates,*according to*Wikipedia.","Justin Trudeau*has appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,has appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He has appeared in prominent political debates in his lifetime.,Justin Trudeau,14,male,alive,dead,critical,PP,livingPP,3,yes,appear,12013,crit,crit
4,2,Justin Trudeau,Glenn Lockhart,He*appeared*in prominent*political debates.,Glenn Lockhart is a Canadian politician. He lives in Ottawa.,Glenn Lockhart*is*a Canadian*politician.*He*lives*in Ottawa.,"He*appeared*in prominent*political debates,*according to*Wikipedia.","Justin Trudeau*appeared*in prominent*political debates,*according to*Wikipedia.",His election received international attention.,4,He,appeared,in prominent,political debates,in his lifetime,according to,Wikipedia,0,in prominent political debates in his lifetime.,He appeared in prominent political debates in his lifetime.,Justin Trudeau,14,male,alive,dead,critical,PS,livingPS,4,yes,appear,12024,crit,crit
5,3,Whitney Houston,Sophie Laverty,She*has appeared*in popular*music videos.,Sophie Laverty was an American singer. She died in Beverly Hills.,Sophie Laverty*was*an American*singer.*She*died*in Beverly Hills.,"She*has appeared*in popular*music videos,*as stated in*her memoir.","Whitney Houston*has appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Whitney Houston,15,female,dead,alive,critical,PP,deadPP,2,no,appear,13114,crit,crit
6,3,Whitney Houston,Sophie Laverty,She*appeared*in popular*music videos.,Sophie Laverty was an American singer. She died in Beverly Hills.,Sophie Laverty*was*an American*singer.*She*died*in Beverly Hills.,"She*appeared*in popular*music videos,*as stated in*her memoir.","Whitney Houston*appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Whitney Houston,15,female,dead,alive,critical,PS,deadPS,3,no,appear,13123,crit,crit
7,3,Shakira,Sophie Laverty,She*appeared*in popular*music videos.,Sophie Laverty is a Colombian singer. She lives in Barcelona.,Sophie Laverty*is*a Colombian*singer.*She*lives*in Barcelona.,"She*appeared*in popular*music videos,*as stated in*her memoir.","Shakira*appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She appeared in popular music videos in her career.,Shakira,7,female,alive,dead,critical,PS,livingPS,1,yes,appear,13021,crit,crit
8,3,Shakira,Sophie Laverty,She*has appeared*in popular*music videos.,Sophie Laverty is a Colombian singer. She lives in Barcelona.,Sophie Laverty*is*a Colombian*singer.*She*lives*in Barcelona.,"She*has appeared*in popular*music videos,*as stated in*her memoir.","Shakira*has appeared*in popular*music videos,*as stated in*her memoir.",Her first album was a critical success.,4,She,has appeared,in popular,music videos,in her career,as stated in,her memoir,0,in popular music videos in her career.,She has appeared in popular music videos in her career.,Shakira,7,female,alive,dead,critical,PP,livingPP,4,yes,appear,13012,crit,crit
9,10,Jimi Hendrix,Jim Jimmy,He*has performed*in numerous*music festivals.,Jim Jimmy was an American musician. He died in London.,Jim Jimmy*was*an American*musician.*He*died*in London.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.","Jimi Hendrix*has performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Jimi Hendrix,12,male,dead,alive,critical,PP,deadPP,3,no,perform,110111,crit,crit
10,10,Jimi Hendrix,Jim Jimmy,He*performed*in numerous*music festivals.,Jim Jimmy was an American musician. He died in London.,Jim Jimmy*was*an American*musician.*He*died*in London.,"He*performed*in numerous*music festivals,*as reported by*his biographer.","Jimi Hendrix*performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Jimi Hendrix,12,male,dead,alive,critical,PS,deadPS,4,no,perform,110122,crit,crit
